path,country,pages,pypdf_chars,pypdf_lang,pypdf_error,fitz_chars,fitz_lang,fitz_error,verdict
plans/_incoming_for_review/_unknown_language/CHN/859/Huangshi-Resilience-Strategy.pdf,CHN,44,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/COL/72/Decreto-402-2023-Cali-Cambio-Climatico.pdf,COL,12,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/COL/72/Decreto-402-2023-Cali-Cambio-Climatico.pdf,COL,12,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/COL/92/Cucuta-Decreto-0129-2021-PMGRD-Adaptacion-Climatica.pdf,COL,5,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/COL/92/Cucuta-Decreto-0129-2021-PMGRD-Adaptacion-Climatica.pdf,COL,5,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IDN/962/banjarmasin-rencana-aksi-ketahanan-iklim.pdf,IDN,12,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IDN/962/banjarmasin-rencana-aksi-ketahanan-iklim.pdf,IDN,12,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IDN/962/banjarmasin-sk-tim-rencana-aksi-iklim.pdf,IDN,11,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IDN/962/banjarmasin-sk-tim-rencana-aksi-iklim.pdf,IDN,11,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IND/538/Udaipur-Covenant-of-Mayors-Climate-Profile.pdf,IND,2,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IND/538/Udaipur-Covenant-of-Mayors-Climate-Profile.pdf,IND,2,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IND/617/lucknow-city-heat-action-plan-2025.pdf,IND,100,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IND/617/lucknow-city-heat-action-plan-2025.pdf,IND,100,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IND/632/Telangana-Hyderabad-Cool-Roof-Policy-2023.pdf,IND,36,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IND/632/Telangana-Hyderabad-Cool-Roof-Policy-2023.pdf,IND,36,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IND/690/ADB-Visakhapatnam-Resilience-Vulnerability-Analysis.pdf,IND,10,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/IND/690/ADB-Visakhapatnam-Resilience-Vulnerability-Analysis.pdf,IND,10,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/JPN/985/hamamatsu-local-adaptation-framework.pdf,JPN,14,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/JPN/985/hamamatsu-local-adaptation-framework.pdf,JPN,14,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
plans/_incoming_for_review/_unknown_language/KOR/940/Jeonju-3rd-Climate-Adaptation-Plan-2025-2029.pdf,KOR,1,0,,too_short (0 chars),0,,too_short (0 chars),still_unknown
